"reason","cluster"
"loneliness",1
"social disconnection",4
"economic hardship",7
"authenticity",1
"societal change",5
"poverty",7
"education gaps",6
"family instability",2
"late start",8
"career setbacks",9
"introversion",1
"single parenthood",2
"relationship status",2
"traditional family",2
"life partner",2
"marriage expectations",2
"societal norms",5
"credit access",7
"healthcare costs",7
"support network",3
"economic inequality",6
"self employment",9
"environmental concerns",5
"social inequality",6
"religious bias",4
"gender issues",6
"lack of purpose",8
"stagnation",8
"comparison",1
"unfulfilled goals",8
"promotion bias",3
"ai advancement",3
"mounting debt",7
"ai advancements",3
"health risks",4
"financial comfort",7
"literacy",1
"curiosity",1
"resilience",1
"technology changes",3
"hiring freezes",9
"self-doubt",1
"policy exclusion",4
"adverse effects",4
"service access",3
"community needs",3
"neglect",8
"minimal services",4
"medical gap",6
"social invisibility",4
"lack of opportunities",8
"job access",3
"financial pressure",7
"societal pressure",5
"career plateau",9
"skill mismatch",6
"parenting responsibilities",2
"legislation enforcement",4
"civil rights erosion",4
"privacy erosion",4
"international comparison",3
"distance relationships",2
"music trends",5
"limited time",4
"limited money",7
"limited energy",4
"personal choices",1
"supportive upbringing",2
"self evaluation",1
"expectations",1
"emotional exhaustion",1
"social stigma",5
"friendship loss",1
"contentment",1
"income inequality",6
"wealth gap",6
"parental pressure",2
"trust issues",1
"communication barriers",4
"emotional distance",1
"innovation gap",6
"life balance",1
"catching up",1
"lack of effort",8
"procrastination",1
"progress perception",1
"life race",1
"personal pace",1
"goal focus",1
"financial stability",7
"education decisions",3
"financial habits",7
"health habits",1
"poor treatment",8
"marginalization",4
"visibility",1
"social anxiety",1
"lack of connection",8
"identity challenges",1
"financial constraints",7
"work-life balance",9
"job dissatisfaction",9
"family support",2
"lack of partnership",8
"generational gap",2
"language barriers",4
"gender inequality",6
"pay gap",6
"fascism",1
"oligarchy",5
"immigration policies",4
"lgbtq+ rights",5
"press freedom",1
"judicial bias",4
"gratitude",1
"job satisfaction",9
"community involvement",3
"children at home",2
"travel limitations",4
"empty nest expectations",2
"religious exclusion",4
"cultural dominance",5
"political influence",5
"secular beliefs",5
"income stagnation",9
"ai knowledge gap",6
"self-perception",1
"isolation",4
"identity struggle",1
"systemic discrimination",4
"colonial history",5
"resource hoarding",4
"political corruption",5
"credit bias",4
"voter disenfranchisement",4
"corporate influence",5
"social stratification",5
"opportunity disparity",6
"technology disconnect",3
"digital relationships",3
"changing norms",5
"lack of community",8
"autism spectrum",1
"underemployment",9
"lower income",7
"missed milestones",8
"limited savings",7
"financial status",7
"undervalued work",9
"medical negligence",8
"disability ignorance",4
"education disparity",6
"political beliefs",5
"talent perception",1
"individualism",1
"cultural views",5
"societal values",5
"systemic barriers",4
"aging",2
"bias",1
"invisibility",4
"dissatisfaction",8
"stamina",1
"loss",1
"personal interests",1
"time limitations",4
"delayed retirement",9
"lack of guidance",8
"age expectations",2
"connection difficulties",4
"lack of preparation",8
"career expectations",9
"modern society",5
"work anxiety",9
"financial freedom",7
"insurance lack",7
"debt burden",7
"career advancement",9
"resource access",3
"education costs",7
"healthcare system",3
"corporate greed",5
"moral decline",5
"rising costs",7
"unrealized potential",8
"regret",8
"self-reflection",1
"financial growth",7
"material wealth",7
"education choices",3
"lack of motivation",8
"financial dependency",7
"independence desire",1
"low self-esteem",1
"feeling unloved",8
"lack of education",8
"poor choices",8
"delayed action",4
"housing ownership",7
"lack of direction",8
"cultural changes",5
"age gap",2
"economic stability",7
"stagnant wages",9
"student debt",7
"wealth inequality",6
"family matters",2
"financial situations",7
"relevance",1
"social security",7
"news impact",3
"education expenses",7
"retirement insecurity",7
"social security concerns",7
"unmet expectations",8
"forgotten",8
"overlooked",8
"technological change",3
"educational neglect",8
"systemic failure",4
"food insecurity",7
"skill gaps",6
"societal expectations",5
"technology adaptation",3
"social changes",5
"resource gaps",6
"language barrier",4
"perception issues",1
"life expectations",2
"personal relationships",2
"social trends",5
"empty nest",2
"identity change",1
"purpose loss",8
"time management",1
"truth seeking",1
"societal trends",5
"identity conflict",1
"limited opportunities",4
"stay at home parent",2
"chronic health",4
"policy changes",3
"program cuts",3
"access barriers",4
"travel opportunities",3
"milestone achievements",3
"retirement planning",9
"late diagnosis",8
"missed support",8
"career impact",9
"debt",7
"systemic racism",4
"racial inequality",6
"low end job",9
"social media pressure",5
"economic shifts",5
"technological disruption",3
"social connections",5
"parenting stage",2
"personal struggles",1
"power imbalance",6
"social injustice",6
"wealth disparity",6
"policy gaps",6
"external pressure",5
"peer achievements",3
"stagnant career",9
"marriage",2
"starting family",2
"traumatic events",4
"generational challenges",2
"bad choices",8
"early pregnancy",2
"career loss",9
"government corruption",5
"family exclusion",4
"decision exclusion",4
"disconnection",4
"job stagnation",9
"self-criticism",1
"historical trauma",4
"societal attitudes",5
"lack of reparations",8
"overcoming obstacles",1
"setbacks",4
"uncertainty",1
"rapid change",3
"weak safety nets",4
"corporate culture",5
"experience undervalued",8
"youth preference",2
"rural isolation",4
"limited services",4
"social life",5
"cultural events",5
"educational opportunities",3
"urban amenities",3
"political engagement",5
"food scarcity",7
"government inaction",8
