"id","left_behind_score","reasons_csv","systemic","government","economic_or_cultural","history","trajectory"
"DL706hd",5,"lack of support, low self-esteem, feeling unloved, isolation, neglect",5,1,7,1,2
"BG478xb",2,"missed opportunities, lack of education, poor choices, self-perception, delayed action",6,1,2,5,5
"YD507fd",3,"career progress, housing ownership, lack of direction, age comparison",2,1,3,5,5
"FP221xz",2,"cultural changes, age gap, economic stability, career stagnation",3,1,5,5,5
"XE987ty",5,"financial struggles, healthcare access, rising costs, stagnant wages, student debt, wealth inequality",1,4,2,1,2
"KW879mg",4,"family matters, financial situations",5,1,3,5,2
"WR468pv",4,"age, relevance, social security, political climate, news impact",2,4,4,2,2
"WN170fi",5,"wealth inequality, housing costs, education expenses, retirement insecurity, social security concerns",1,4,2,5,2
"KD013fo",3,"unmet expectations, career stagnation, financial struggles, relationship changes, social isolation, health issues, educational gaps",4,1,4,3,3
"TA375id",1,"neglect, forgotten, overlooked",7,1,7,5,5
"EE414ia",4,"ageism, generational gap, technological change, cultural shift, social isolation",2,1,7,1,2
"GP061si",5,"family instability, lack of support, educational neglect, poverty, systemic failure, neglect, housing insecurity, food insecurity",1,3,6,1,2
"CA003hz",4,"career stagnation, financial instability, social isolation, skill gaps, societal expectations",2,1,3,5,3
"FZ397qe",4,"career advancement, financial security, technology adaptation, social changes, resource gaps",2,1,4,5,3
"NU471vz",2,"language barrier, perception issues",5,1,3,5,6
"IS906ba",3,"unmet goals, comparison, life expectations",5,1,5,5,5
"SQ964dp",3,"career progression, personal relationships, financial stability, social trends",3,1,4,5,3
"HU026cu",4,"empty nest, identity change, purpose loss, time management",5,1,6,5,2
"QK970xr",5,"health issues, social isolation, financial struggles, anxiety, lack of support, misunderstanding, truth seeking, societal trends, identity conflict, mental health",1,1,4,5,2
"GK945xg",4,"financial instability, education level, limited opportunities",2,1,2,5,2
"GP371uf",2,"stay at home parent, chronic health, peer comparison, societal expectations",2,1,6,5,5
"VG516jp",4,"policy changes, program cuts, access barriers",1,5,2,6,2
"UH830fx",4,"career stagnation, relationship status, financial stability, peer comparison, personal growth, travel opportunities, milestone achievements",5,1,3,5,3
"LA963yf",2,"age discrimination, job market, technology gap, health issues, retirement planning",2,2,2,5,2
"AI993kq",4,"late diagnosis, missed support, career impact, education gaps, social isolation",2,1,6,5,2
"CH472sk",5,"financial struggles, debt, low income, poverty, economic disparity",1,2,2,2,2
"KC770vj",4,"systemic racism, career advancement, racial inequality",1,3,2,2,2
"GV585me",3,"career stagnation, financial instability, social isolation, educational gaps, technological changes",5,1,2,5,3
"PG330pq",4,"low end job, financial strain, lack of education, missed opportunities, social media pressure, career stagnation",2,1,2,5,2
"PM697ft",5,"ai advancement, job loss, career change, economic shifts, technological disruption",1,1,2,6,2
"OC829jn",3,"career stagnation, financial struggles, education gap, social isolation, technology changes",5,1,4,5,2
"YD003an",3,"social connections, parenting stage, financial stability",5,1,4,5,2
"GN635zf",4,"career stagnation, relationship status, peer comparison, personal struggles",2,1,4,5,2
"ZZ991ci",4,"economic inequality, lack of support, power imbalance, social injustice, wealth disparity",1,4,2,4,2
"EL670hv",4,"government neglect, policy gaps",1,4,2,2,2
"WU227xd",3,"comparison, external pressure, career stagnation, financial struggles, social isolation, education gaps, health issues, technology changes",2,1,4,5,4
"CK578la",4,"career progression, peer achievements, stagnant career, marriage, starting family",2,1,4,5,4
"IW155dx",3,"traumatic events, generational challenges",2,1,4,2,2
"EU401qj",5,"bad choices, family issues, early pregnancy, career loss, financial struggles",2,1,4,1,2
"AM783tw",4,"stagnant wages, rising costs, economic uncertainty, government corruption, wealth inequality",1,4,2,1,2
"MA816im",3,"family exclusion, decision exclusion",5,1,6,5,2
"GB721ld",4,"disconnection, isolation, loneliness, lack of support",2,1,7,6,2
"FZ705zg",4,"inflation, financial strain, job stagnation",1,2,2,6,2
"YF301sz",3,"career stagnation, self-criticism, peer comparison",3,1,4,5,5
"KK724gt",4,"career stagnation, financial struggles, education gap, social isolation, relationship status",2,1,3,5,2
"BA221pq",1,"historical trauma, financial constraints, societal attitudes, lack of reparations, self-determination, education access, overcoming obstacles",1,1,4,1,6
"BN140jn",4,"financial struggles, debt, peer comparison, setbacks, anxiety, uncertainty",2,1,2,5,2
"HT726ky",4,"rising costs, rapid change, weak safety nets",1,3,2,6,2
"TL153cy",3,"career stagnation, financial instability, relationship status, academic performance, peer comparison",2,1,3,5,2
"GD488jz",4,"age discrimination, job market, corporate culture, experience undervalued, youth preference",2,1,2,2,2
"ID267zs",5,"rural isolation, limited services, social life, cultural events, educational opportunities, urban amenities, political engagement",1,4,6,2,2
"JD089ot",4,"financial strain, student debt, income disparity, education costs",1,3,2,5,2
"VP449hx",1,"lack of support, financial instability, housing insecurity, food scarcity, government inaction",1,4,2,5,4
