"pid","reason_index","reason","systemic_vs_individual","toward_government","nonsensical","category","rationale"
"LA424lb",3,"no money","individual",0,0,"economic","Lack of money is typically an individual economic issue."
"LA424lb",4,"in debt","individual",0,0,"economic","Being in debt is often due to personal financial decisions or circumstances."
"LA424lb",5,"poor health","individual",0,0,"other","Poor health is typically related to individual factors such as lifestyle choices or personal health conditions."
"NK673ap",1,"Conservative politics","systemic",1,0,"political","Refers to political ideologies and their influence on policies and governance."
"NK673ap",2,"Rise in intolerance","systemic",0,0,"social","Intolerance is often linked to societal trends and cultural shifts."
"NK673ap",3,"Disregard for protection of equality","systemic",0,0,"social","The reason refers to societal attitudes or structures that fail to uphold equality."
"KD900dx",1,"they are trying their best and its not good enough","individual",0,0,"other","The reason focuses on personal effort and capability."
"KD900dx",2,"they are struggling","none",0,0,"other","The reason 'they are struggling' does not provide a specific explanation or context."
"KD900dx",3,"they see other people living better than them","individual",0,0,"social","The reason focuses on personal perception and comparison with others."
"GA854dt",1,"Lack of resources","systemic",0,0,"economic","The reason refers to a systemic issue related to the availability and distribution of resources, which is an economic concern."
"GA854dt",2,"Lack of connections","individual",0,0,"social","The reason refers to personal networks or social capital, which are individual attributes."
"GA854dt",3,"Limited skillset","individual",0,0,"economic","The reason refers to personal attributes or skills, which is an individual factor affecting economic opportunities."
"GA854dt",4,"Limited to no education opportunities","systemic",0,0,"social","Lack of education opportunities is a systemic issue related to societal structures and access to services."
"GA854dt",5,"Rural/underdeveloped location","systemic",0,0,"economic","The reason refers to geographic and infrastructural factors affecting economic opportunities."
"RJ549rq",1,"jobs","systemic",0,0,"economic","Refers to employment and labor markets, which are systemic."
"RJ549rq",2,"education","both",0,0,"social","Education can be influenced by systemic factors like school systems and policies, as well as individual factors like personal effort and learning ability."
"RJ549rq",3,"opportunities","both",0,0,"economic","Opportunities can be influenced by both systemic factors like market conditions and individual factors like personal skills."
"RJ549rq",4,"security","none",0,1,"other","The term 'security' alone is too vague and lacks context to classify."
"RJ549rq",5,"health","none",0,1,"other","The term 'health' alone is too vague and lacks context to classify as a reason."
"QD250oo",1,"Less government help","systemic",1,0,"political","The reason points to a lack of government assistance, which is a systemic issue related to public policy."
"QD250oo",2,"Stagnent wages","systemic",0,0,"economic","Wage stagnation is typically linked to broader economic structures and market conditions."
"QD250oo",3,"Being taken advantage of","individual",0,0,"social","The reason implies a personal experience or situation where someone is being exploited."
"QD250oo",4,"Priced out of home ownership","systemic",0,0,"economic","The reason refers to market forces or economic conditions affecting housing affordability."
"FF403ay",1,"Born into poverty","systemic",0,0,"economic","Being born into poverty is a systemic issue related to economic structures and conditions."
"FF403ay",2,"Limited access to higher education","systemic",0,0,"social","Limited access to higher education is a systemic issue as it involves societal structures and institutions that determine educational opportunities."
"FF403ay",3,"Limited parental interaction/involvement","individual",0,0,"social","The reason focuses on personal choices or behaviors related to parenting."
"OD372si",1,"Economic disparity","systemic",0,0,"economic","Economic disparity refers to the unequal distribution of wealth and resources, which is a systemic issue."
"OD372si",2,"Cost of housing","systemic",0,0,"economic","The reason refers to a market issue affecting housing prices."
"OD372si",3,"social deteriorization due to drug use","both",0,0,"social","The reason involves both systemic issues (societal trends related to drug use) and individual choices (drug use behavior)."
"OD372si",4,"Gradual realization of how advantaged the rich are","systemic",0,0,"economic","The reason highlights systemic economic disparities between the rich and others."
"OD372si",5,"Both major political parties leaving the middle and lower classes behind","systemic",1,0,"political","The reason attributes the issue to political parties, which are part of the political system."
"QY965yz",1,"Racial inequality","systemic",0,0,"social","Racial inequality is often rooted in systemic social structures and historical trends."
"QY965yz",2,"Bottom of the list for social services","systemic",0,0,"social","Refers to a position in accessing social services, indicating systemic issues in service distribution."
"QY965yz",3,"Economy benefits others","systemic",0,0,"economic","The reason suggests that economic structures or systems are benefiting certain groups over others."
"SL728en",1,"because some are being sent back to their original countries","systemic",0,0,"political","The reason involves immigration policies or practices, which are systemic and political in nature."
"SL728en",2,"they have less rights","systemic",0,0,"social","The reason refers to systemic social issues related to rights and equality."
"SL728en",3,"they are being harassed","individual",0,0,"social","Harassment is typically a result of individual behavior or actions."
"SL728en",4,"they aren't being accepted","none",0,1,"other","The reason is too vague and lacks context to classify properly."
"FS264fn",1,"lack of jobs","systemic",0,0,"economic","The reason refers to a systemic issue related to the availability of employment opportunities."
"FS264fn",2,"low wages","systemic",0,0,"economic","Low wages are typically influenced by market conditions and economic structures."
"FS264fn",3,"poor education","systemic",0,0,"social","Education quality is often influenced by systemic factors like funding and policy."
"OP440di",1,"poor","individual",0,0,"economic","Refers to a lack of financial resources or low income, which is an individual economic condition."
"OP440di",2,"depressed","individual",0,0,"other","The reason 'depressed' refers to an individual's mental state or condition."
"OP440di",3,"lazy","individual",0,0,"other","The reason attributes the issue to personal behavior or effort."
"OP440di",4,"sick","individual",0,0,"other","The reason 'sick' refers to a personal health condition, which is an individual issue."
"FX295ed",1,"unable to get a job","both",0,0,"economic","The reason involves both systemic factors like job market conditions and individual factors like skills or qualifications."
"FX295ed",2,"unable to get benefits","systemic",1,0,"economic","The reason suggests a systemic issue related to accessing government-provided benefits."
"FX295ed",3,"unable to get housing","systemic",0,0,"economic","The reason relates to systemic issues in the housing market."
"FX295ed",4,"looked down upon by society","systemic",0,0,"social","The reason involves societal attitudes and perceptions, which are systemic social issues."
"TG401vr",1,"lack of friendship","individual",0,0,"social","The reason pertains to personal relationships and social connections, which are individual factors."
"TG401vr",2,"socially awkward","individual",0,0,"social","The reason 'socially awkward' pertains to personal attributes or behaviors affecting social interactions."
"TG401vr",3,"isolation","individual",0,0,"social","Isolation is typically related to personal or social circumstances affecting an individual's social connections."
"IY384yq",1,"Trump","none",0,1,"other","The reason 'Trump' is too vague and lacks context to classify meaningfully."
"IY384yq",2,"US Policies","systemic",1,0,"political","The reason refers to government policies, which are systemic and political in nature."
"IY384yq",3,"Housing Costs","systemic",0,0,"economic","Housing costs are influenced by market dynamics and policies."
"IY384yq",4,"Ice","none",0,1,"other","The reason 'Ice' is nonsensical and does not provide a meaningful explanation."
"IY384yq",5,"Discrimination","systemic",0,0,"social","Discrimination is a systemic issue related to societal trends and structures."
"KX827gq",1,"Inequality","systemic",0,0,"economic","Inequality is often linked to systemic economic structures and policies."
"KX827gq",2,"Classism","systemic",0,0,"social","Classism refers to systemic social hierarchies and discrimination based on class."
"KX827gq",3,"Racism","systemic",0,0,"social","Racism is a systemic issue related to societal trends and structures."
"KX827gq",4,"Sexism","systemic",0,0,"social","Sexism is a societal trend affecting social dynamics and opportunities."
"TA972nt",1,"Politicians promote soft on crime policies, which helps criminals.","systemic",1,0,"political","The reason attributes the issue to government policies and political actions."
"TA972nt",2,"Punishments for criminals are lowered, making victims or their families feel unheard and deprived of justice.","systemic",0,0,"social","The reason addresses systemic issues in the justice system affecting victims' sense of justice."
"TA972nt",3,"Legal immigrants in blue states, who have worked so hard and sacrificed so much to become legal residents or citizens, have to compete with illegal immigrants for jobs and resources when the illegals aren't even supposed to be here in the first place.","both",0,0,"economic","The reason involves systemic issues of immigration policy and individual efforts of legal immigrants."
"HF012at",1,"Gay marriage isn't federally legal everywhere","systemic",1,0,"social","The reason involves legal and policy structures related to marriage rights."
"HF012at",2,"Trans people are not accepted","systemic",0,0,"social","The reason relates to societal acceptance and attitudes towards transgender individuals, which is a systemic social issue."
"HF012at",3,"People of colour don't get the same oppurtunties","systemic",0,0,"social","The reason highlights systemic social issues related to racial inequality in opportunities."
"HF012at",4,"Immigrants are being deported","systemic",1,0,"political","Deportation is a result of government policies and immigration laws."
"HF012at",5,"Women are not being seen as equal to men","systemic",0,0,"social","The reason addresses societal trends and structures related to gender equality."
"IQ592yq",1,"Rights are being taken away illegally","systemic",1,0,"political","The reason involves systemic issues related to government actions and legal rights."
"IQ592yq",2,"Oppression of protected freedoms","systemic",1,0,"political","The reason involves systemic issues related to government or institutional actions affecting freedoms."
"IQ592yq",3,"Lying from the government","systemic",1,0,"political","The reason involves government actions, specifically dishonesty, which is a systemic issue related to political institutions."
"AS180pr",1,"No housing","systemic",0,0,"economic","Lack of housing is typically due to systemic issues like market conditions or policy."
"AS180pr",2,"No food","none",0,1,"other","The reason 'No food' is too vague and lacks context to classify properly."
"AS180pr",3,"No healthcare","systemic",1,0,"social","Lack of healthcare is often due to systemic issues related to government policy and social services."
"AS180pr",4,"No education opportunity","systemic",0,0,"social","Lack of education opportunity is a systemic issue related to societal structures and access to services."
"AS180pr",5,"No communication resources(i.e. Internet, smartphone, computer)","systemic",0,0,"social","Lack of communication resources is a systemic issue related to access and infrastructure."
"QB803mz",1,"low pay or unstable work","systemic",0,0,"economic","The reason refers to economic conditions related to employment and compensation, which are systemic issues."
"QB803mz",2,"limited opportunities","systemic",0,0,"economic","Limited opportunities often refer to systemic issues in the job market or economy that restrict access to employment or advancement."
"QB803mz",3,"feeling ignored or unheard","individual",0,0,"social","The reason relates to personal feelings of being ignored or unheard, which is a social issue."
"SI559oz",1,"Financially behind their peers.","both",0,0,"economic","The reason suggests both systemic economic factors and individual financial situations."
"SI559oz",2,"Lack of job promotion.","both",0,0,"economic","The reason could involve systemic factors like company policies or individual factors like personal performance."
"SI559oz",3,"Socially relationship not as what they had imagined.","individual",0,0,"social","The reason pertains to personal expectations and perceptions in social relationships."
"NC854jn",1,"access to healthcare","systemic",0,0,"social","Access to healthcare is influenced by systemic factors such as healthcare systems and policies."
"NC854jn",2,"housing issues","systemic",0,0,"economic","Refers to structural issues in the housing market."
"NC854jn",3,"cash flow issues","systemic",0,0,"economic","Cash flow issues are typically related to economic structures and market conditions."
"XE154sb",1,"Economically poor","systemic",0,0,"economic","Refers to economic conditions or structures affecting poverty."
"XE154sb",2,"Uneducated","individual",0,0,"social","The reason 'uneducated' refers to a personal attribute or lack of education, which is an individual factor."
"XE154sb",3,"Depressed","individual",0,0,"other","Depression is typically related to personal mental health issues."
"XE154sb",4,"Doesn't have a support group","individual",0,0,"social","Lack of a support group is an individual social issue related to personal networks and community."
"XE154sb",5,"Discriminated","systemic",0,0,"social","Discrimination is a systemic issue related to societal trends and structures."
"VB292iw",1,"They're facing persecution.","systemic",0,0,"social","Persecution is typically a systemic issue involving societal or institutional discrimination."
"VB292iw",2,"They're threatened by ICE","systemic",1,0,"political","The reason involves government enforcement of immigration policies."
"VB292iw",3,"Their rights aren't being acknowledged","systemic",0,0,"social","The reason suggests a systemic issue related to societal or institutional recognition of rights."
"UN666gq",1,"money","none",0,1,"other","The reason 'money' is too vague and lacks context to classify."
"UN666gq",2,"status in work","individual",0,0,"social","Refers to an individual's position or rank within a workplace."
"UN666gq",3,"not enough time","individual",0,0,"other","The reason 'not enough time' relates to personal time management or individual circumstances."
"UN666gq",4,"feeling down","individual",0,0,"other","The reason 'feeling down' is related to personal emotions or mental state, which is an individual factor."
"UN666gq",5,"feeling different","individual",0,0,"social","The reason 'feeling different' relates to personal identity and social perception."
"RY150ge",1,"Racial discrimination","systemic",0,0,"social","Racial discrimination is a systemic issue related to societal trends and structures."
"RY150ge",2,"Queer discrimination","systemic",0,0,"social","Discrimination based on sexual orientation is a societal issue."
"RY150ge",3,"Immigrant discrimination","systemic",0,0,"social","Discrimination against immigrants is a societal issue related to social identity and status."
"AL026ij",1,"poverty","systemic",0,0,"economic","Poverty is often linked to systemic economic structures and policies."
"AL026ij",2,"home security","none",0,1,"other","The reason 'home security' is too vague and lacks context to classify meaningfully."
"AL026ij",3,"unheard","none",0,1,"other","The reason 'unheard' is too vague and lacks context to classify meaningfully."
"AL026ij",4,"less than","none",0,1,"other","The reason is incomplete and lacks context, making it nonsensical."
"AL026ij",5,"what is considered valuable","systemic",0,0,"social","The concept of value is shaped by societal norms and trends."
"SJ147jm",1,"lack mindset","individual",0,0,"other","The reason attributes the issue to personal mindset, which is an individual factor."
"SJ147jm",2,"lack heart","individual",0,0,"other","The reason 'lack heart' refers to personal attributes or effort."
"SJ147jm",3,"lack money","both",0,0,"economic","Lack of money can be due to systemic economic factors like unemployment or low wages, as well as individual financial management."
"SJ147jm",4,"lack love","individual",0,0,"social","The reason 'lack love' pertains to personal or social relationships and emotions, which are individual or social in nature."
"SJ147jm",5,"lack period","none",0,1,"other","The reason is incomplete and lacks context, making it nonsensical."
"GL326ov",1,"Inflation","systemic",0,0,"economic","Inflation is a systemic economic issue related to the overall increase in prices and decrease in the purchasing value of money."
"GL326ov",2,"Cuts to welfare","systemic",1,0,"economic","Reductions in welfare are typically decisions made by government affecting economic support systems."
"GL326ov",3,"All health related costs going up","systemic",0,0,"economic","The reason refers to a trend in rising health-related costs, which is a systemic economic issue."
"GL326ov",4,"Unaffordable housing","systemic",0,0,"economic","Housing affordability is influenced by market dynamics and policies."
"QC771vv",1,"Bad wages","systemic",0,0,"economic","Wages are typically influenced by market structures and economic policies."
"QC771vv",2,"Not enough free time","individual",0,0,"other","The reason relates to personal time management or lifestyle choices."
"QC771vv",3,"Expensive bills","systemic",0,0,"economic","High costs of utilities or services are often due to market conditions or regulatory factors."
"OD665ds",1,"woke directives","systemic",0,0,"social","Refers to societal trends or policies perceived as promoting progressive social values."
"OD665ds",2,"favoring illegal immigrants","systemic",0,0,"social","The reason suggests a societal trend or policy that favors illegal immigrants, which is a systemic issue."
"OD665ds",3,"democrat doublespeak.","none",0,1,"other","The phrase 'democrat doublespeak' is vague and lacks a clear explanation or context."
"XQ348or",1,"Illegals getting ""free money"", housing and other benefits","systemic",1,0,"social","The reason suggests systemic issues related to government policies on benefits for undocumented immigrants."
"XQ348or",2,"Increased taxes","systemic",1,0,"economic","Increased taxes are a systemic issue as they relate to government policy affecting the economy."
"XQ348or",3,"Inflation at record highs","systemic",0,0,"economic","Inflation is a systemic economic issue related to market conditions and monetary policy."
"XQ348or",4,"Rising gas prices","systemic",0,0,"economic","Rising gas prices are influenced by market dynamics and global economic factors."
"TW529uz",1,"Feeling targeted","individual",0,0,"social","The reason 'feeling targeted' suggests a personal perception or experience, which aligns with individual causes and relates to social dynamics."
"TW529uz",2,"Feeling isolated in government","systemic",1,0,"political","The reason involves a feeling of disconnection related to government institutions or processes."
"TW529uz",3,"Lack of representation and support","systemic",0,0,"social","The reason points to systemic issues related to representation and support within social structures."
"TW529uz",4,"Feeling lost in their current home","individual",0,0,"social","The reason pertains to personal feelings and sense of belonging, which are individual and social in nature."
"YB510qi",1,"less pay","systemic",0,0,"economic","Refers to economic structures affecting wages."
"YB510qi",2,"flawed system","systemic",0,0,"other","The reason points to a structural or institutional issue without specifying government involvement."
"YB510qi",3,"no address for homeless means know benefits","systemic",0,0,"social","Lack of a permanent address is a systemic barrier for homeless individuals to access benefits."
"YB510qi",4,"Housing rates are through the roof","systemic",0,0,"economic","The reason refers to a market trend affecting housing prices."
"UB905pa",1,"money","none",0,1,"other","The reason 'money' is too vague and lacks context to classify properly."
"UB905pa",2,"taxed more","systemic",1,0,"economic","The reason involves government taxation, which is a systemic economic issue."
"UB905pa",3,"Not getting benefits","systemic",0,0,"economic","Lack of access to benefits is often due to systemic issues in distribution or eligibility criteria."
"ID780ay",1,"struggling","none",0,1,"other","The term 'struggling' is too vague and lacks context to classify."
"ID780ay",2,"declining birth rate","systemic",0,0,"social","Declining birth rates are often linked to societal trends and structures, such as economic conditions, cultural shifts, and access to family planning."
"ID780ay",3,"broke","individual",0,0,"economic","The term 'broke' typically refers to an individual's financial situation, indicating a lack of personal funds or resources."
"MF540un",1,"The cost of goods","systemic",0,0,"economic","The cost of goods is influenced by market structures and economic factors."
"MF540un",2,"job stability","systemic",0,0,"economic","Job stability is influenced by market conditions and economic structures."
"MF540un",3,"taxes","systemic",1,0,"economic","Taxes are a systemic economic factor influenced by government policy."
"MF540un",4,"costs","systemic",0,0,"economic","Refers to economic factors related to prices or expenses."
"OR935po",1,"not willing to try","individual",0,0,"other","The reason attributes the issue to a personal choice or lack of effort."
"OR935po",2,"unable to learn tech","individual",0,0,"other","The reason focuses on a personal inability to learn technology, which is an individual issue."
"OR935po",3,"anxiety of social events","individual",0,0,"social","Anxiety related to social events is typically a personal or individual issue."
"EM823gs",1,"no political identity","individual",0,0,"political","Lack of political identity is related to personal attributes or choices."
"EM823gs",2,"politics are too extreme nowadays","systemic",0,0,"political","The reason refers to a trend in political discourse and behavior."
"EM823gs",3,"new policies tend to favor the wealthy","systemic",1,0,"political","The reason points to systemic issues in policy-making that favor the wealthy, implicating government actions."
"NI842eh",1,"Not enough access to resources","systemic",0,0,"economic","Lack of access to resources is often due to systemic issues such as economic structures or policies."
"NI842eh",2,"Not safe neighborhoods","systemic",0,0,"social","The reason refers to broader societal issues related to community safety and environment."
"NI842eh",3,"Financially struggling","individual",0,0,"economic","The reason 'financially struggling' suggests personal financial difficulties, which are typically related to individual circumstances or choices."
"HS729np",1,"Outsourcing and offshoring of manufacturing jobs.","systemic",0,0,"economic","The reason involves economic structures and market trends affecting job availability."
"HS729np",2,"Inability to save money even if due to refusing or being unable to work more than one job.","individual",0,0,"economic","The reason focuses on personal choices or circumstances related to work and saving money."
"HS729np",3,"The high cost of housing.","systemic",0,0,"economic","The reason refers to a market issue affecting housing prices, which is systemic."
"HT168ob",1,"disrespected","individual",0,0,"social","The reason 'disrespected' relates to personal feelings or social interactions, which are individual and social in nature."
"HT168ob",2,"uncounted","none",0,1,"other","The term 'uncounted' is too vague and lacks context to provide a meaningful classification."
"HT168ob",3,"ungrateful","individual",0,0,"social","The term 'ungrateful' refers to a personal attribute or behavior."
"SK007je",1,"Money made","none",0,1,"other","The phrase 'Money made' is incomplete and lacks context, making it nonsensical."
"SK007je",2,"Lack of security","systemic",0,0,"social","Security issues often relate to systemic factors like societal safety measures and community structures."
"SK007je",3,"Cost of living","systemic",0,0,"economic","The cost of living is influenced by systemic economic factors such as inflation, housing markets, and wage levels."
"SK007je",4,"Overall economy","systemic",0,0,"economic","Refers to the broader economic system or market conditions."
"WB378xn",1,"Tax hikes","systemic",1,0,"economic","Tax hikes are related to government policy affecting economic conditions."
"WB378xn",2,"Cuts on medicaid","systemic",1,0,"political","Cuts on Medicaid are related to government policy decisions affecting healthcare access."
"WB378xn",3,"Inflation","systemic",0,0,"economic","Inflation is a systemic economic issue related to market dynamics and monetary policy."
"WB378xn",4,"Job lay offs","systemic",0,0,"economic","Job layoffs are typically related to economic conditions or business decisions, which are systemic factors."
"WB378xn",5,"Cost of living going up","systemic",0,0,"economic","The reason refers to a broader economic trend affecting prices and expenses."
"FD353dy",1,"Wages","systemic",0,0,"economic","Wages are determined by market forces and economic structures."
"FD353dy",2,"Education","both",0,0,"social","Education can be influenced by systemic factors like school systems and individual factors like personal effort."
"FD353dy",3,"Social services","systemic",0,0,"social","Refers to societal structures providing support and assistance."
"FD353dy",4,"Jobs","systemic",0,0,"economic","Refers to employment and labor markets, which are systemic economic factors."
"HQ389yr",1,"medical bills are too high","systemic",0,0,"economic","High medical bills are a systemic issue related to healthcare costs and pricing structures."
"HQ389yr",2,"cannot afford childcare","systemic",0,0,"economic","The reason relates to economic structures affecting affordability."
"HQ389yr",3,"feel punished for having kids","both",0,0,"social","The feeling of being punished for having kids can stem from systemic issues like lack of support structures and individual challenges of parenting."
"HQ389yr",4,"they have no support","both",0,0,"social","Lack of support can be due to systemic issues like inadequate social services and individual circumstances such as personal networks."
"HQ389yr",5,"they have been victimized","individual",0,0,"social","The reason suggests personal victimization, which is an individual experience."
"VG803te",1,"They are attacked when speaking the truth","individual",0,0,"social","The reason suggests a personal consequence faced by individuals for their actions or speech."
"VG803te",2,"They are attacked because of the sexuality","systemic",0,0,"social","The reason involves societal attitudes and discrimination based on sexuality, which are systemic social issues."
"VG803te",3,"They are attacked because of the color of their skin","systemic",0,0,"social","The reason involves racial discrimination, a systemic social issue."
"VG803te",4,"They are attacked because they defend justice","none",0,0,"other","The reason does not clearly attribute the cause to systemic or individual factors, nor does it specify a category like economic, social, or political."
"IE967wo",1,"Homeless","none",0,1,"other","The reason 'Homeless' is too vague and lacks context to classify."
"IE967wo",2,"Hungry","none",0,1,"other","The reason 'Hungry' is too vague and lacks context to classify meaningfully."
"IE967wo",3,"Stranded","none",0,1,"other","The term 'stranded' is too vague and lacks context to classify as a reason."
"IE967wo",4,"No health care","systemic",1,0,"social","Lack of health care is often due to systemic issues related to government policy and social services."
"IE967wo",5,"Health problems","individual",0,0,"other","Health problems are typically related to individual health conditions or choices."
"KW186li",1,"The person is struggling financially and does not feel supported.","individual",0,0,"economic","The reason focuses on the individual's financial struggle and lack of support, which is a personal situation."
"KW186li",2,"The person feels that the culture is changing rapidly and leaving them behind.","both",0,0,"social","The reason involves both societal trends (systemic) and personal feelings of being left behind (individual)."
"KW186li",3,"The person is not as open to new ideas, so when they are confronted with something new they feel uncomfortable or left out.","individual",0,0,"social","The reason focuses on personal attributes and behaviors related to openness to new ideas."
"AA715zw",1,"lack of determination","individual",0,0,"other","The reason attributes the issue to personal attributes or effort."
"AA715zw",2,"lazyness","individual",0,0,"other","The reason attributes the issue to personal behavior or lack of effort."
"AA715zw",3,"no dsicipline","individual",0,0,"other","Lack of discipline is attributed to personal behavior or choices."
"AA715zw",4,"no goals","individual",0,0,"other","Lack of personal goals is an individual issue related to personal motivation or planning."
"AA715zw",5,"no effort","individual",0,0,"other","The reason 'no effort' attributes the cause to personal choice or behavior."
