"id","left_behind_score","reasons_csv","systemic","government","economic","cultural","race","gender","age"
"CG351mr",5,"technology access, financial constraints, entertainment gap, travel limitations, future planning, income insufficiency",5,1,5,2,1,1,3
"IL024vd",4,"age discrimination, job loss, employment barriers, social isolation, loss of friends",6,1,4,4,1,2,5
"XC614bh",3,"career stagnation, no savings, no home ownership",6,1,4,2,1,2,3
"ZR680ua",3,"financial disparity, career stagnation, advancement delay, parenthood timing",5,1,4,2,1,3,5
"RU259pj",3,"gender inequality, career expectations, political climate",5,4,2,3,1,4,3
"WN361nv",4,"social status, wealth disparity, discrimination, access inequality, different treatment",6,2,4,4,3,2,1
"CU041lk",2,"financial assistance, social security limits, government support, income threshold, veteran benefits",6,4,5,3,1,1,4
"JU160ak",2,"economic status, financial goals, job stability, age concerns, future security",5,1,4,2,1,1,4
"QE893no",4,"rising costs, stagnant wages, financial stress",7,3,5,3,1,1,2
"ZO538zc",3,"new area, lack of familiarity, missing friends, catching up",2,1,1,2,1,1,2
"DE177qe",3,"nostalgia, cultural change, loss of tradition",5,1,2,3,1,1,3
"FG134kd",5,"dysfunctional family, social exclusion, lack of education, poor job prospects, housing instability, social stigma",6,2,3,4,1,1,2
"RJ671in",4,"student debt, lack of support, loan forgiveness doubts",6,3,5,2,1,1,2
"DL159uv",1,"lost connections",2,1,1,2,1,1,2
"XX734xo",1,"no relevant factors",1,1,1,1,1,1,1
"YN956lq",4,"income disparity, changing values",5,1,4,3,1,2,3
"QG576pu",4,"economic struggles, education quality, health care access, urban progress",6,3,4,3,1,1,2
"MI213hv",4,"age discrimination, job opportunities, social isolation, family distance, societal changes",7,1,3,3,1,2,5
"XY689fu",1,"ageism, fewer opportunities",5,1,2,2,1,1,4
"LC154ox",5,"systemic injustice, economic disparity, racial profiling, educational barriers, employment discrimination, social isolation, mental health stigma, housing instability, legal challenges, community disinvestment",7,5,2,5,4,2,1
"FJ250ov",4,"ageism, technology gap, social isolation, underappreciation, stereotyping",6,2,2,3,1,2,5
"IX401ko",4,"career setback, health issues, financial strain, social comparison, personal goals",2,1,3,2,1,1,3
"TR424fh",4,"physical disability, housing limitations, employment barriers, peer comparison",6,2,3,3,1,1,2
"GF097ws",4,"income inequality, wealth disparity, power imbalance, economic struggle, affordability issues, mythical american dream",7,3,5,4,1,1,1
"ND110jk",4,"voter disenfranchisement, political manipulation, helplessness",6,5,1,4,1,1,1
"BD938ty",4,"age gap, technology changes, ai reliance, educational values, future uncertainty",5,1,2,3,1,2,5
"SX833gd",4,"disability challenges, social isolation, limited opportunities, accessibility issues, employment barriers",6,3,3,3,1,1,2
"VM395ov",1,"diversity efforts",5,2,2,3,2,3,1
"NU953yp",4,"car prices, low pay, income disparity",6,2,5,2,2,2,2
"AA643ln",3,"career uncertainty, no children, limited independence, health issues",5,1,2,3,1,2,4
"PI994pb",3,"relationship status, peer comparison, life milestones",2,1,1,3,1,3,4
"MU703vd",4,"natural disasters, mental health, isolation, rebuilding stress, lack of empathy",6,3,3,3,1,1,2
"ZB292nx",2,"housing laws, transient focus, legal challenges, lifestyle choice, social stigma",6,4,3,4,1,1,2
"SW236bh",3,"rising prices, stagnant wages, financial constraints",6,2,5,3,1,2,2
"AZ179ep",5,"autism, adhd, missed opportunities, social challenges, career stagnation, financial struggles, lack of support, isolation, unmet potential",6,1,3,3,1,1,2
"HD334ua",5,"career stagnation, health issues, social isolation, financial disparity, lack of progress, family distance",5,1,3,2,1,1,3
"FP659ra",4,"financial insecurity, lack of happiness, fear of future",6,1,5,3,1,2,3
"WV473sm",4,"age discrimination, healthcare access, financial insecurity, social isolation, wealth depletion",6,3,4,4,1,2,5
"VA311qe",2,"career choices, life decisions",2,1,2,1,1,1,2
"GG601sy",3,"lack of growth, stagnation, peer comparison, self-doubt",4,1,1,2,1,2,4
"IL005wa",4,"inflation, deregulation, tariffs, price hikes, food costs, fuel costs, electricity costs",7,5,5,3,1,1,2
"GF177zs",4,"family loss, social isolation, life progress, missed experiences",4,1,2,2,1,2,4
"XZ251vo",4,"poor decisions, anxiety, different goals, self-sabotage",2,1,3,2,1,1,3
"OX394bn",2,"family dynamics, parenting skills",5,1,2,3,1,3,4
"WL939wr",5,"housing costs, wage disparity, interest rates, political shift, healthcare access, reproductive rights, education decline, oligarchy",6,5,5,3,1,2,3
"TI294kb",2,"retirement savings, stock market, financial literacy",5,1,3,2,1,1,3
"QU758rm",4,"age concerns, career stagnation, unmet goals",4,1,3,2,1,2,5
"QO413io",3,"career stagnation",4,1,3,2,1,2,4
"SN534pd",2,"aging concerns, youth focus",5,1,1,3,1,2,4
"AD665iz",4,"education level, career progress, financial status, skill gaps, technology skills, relationship goals, time constraints, responsibilities",5,1,4,3,1,2,4
"XJ639dz",4,"financial situation, retirement income, lack of assistance, medical help, food assistance",6,4,5,3,1,3,4
"ZK387ct",1,"career success, personal growth, supportive environment",2,1,2,3,1,2,1
"RY131qq",4,"age discrimination, technology changes, job opportunities, skill gaps, networking challenges",7,1,3,3,1,1,5
"UX425zb",4,"income disparity, healthcare system, political climate, insurance costs, universal healthcare, economic inequality",6,5,5,4,1,1,2
"IS616rd",3,"debt burden, rising costs, financial pressure",6,1,4,2,1,1,2
"SX573qu",5,"government neglect, economic struggle, social isolation, medical conditions, lack of empathy, pandemic impact, politicization, community breakdown",7,4,3,5,2,2,3
"HF130ga",4,"financial insecurity, rising costs, healthcare access, retirement savings, economic inequality",6,3,5,2,1,2,4
"IW372py",4,"missed experiences, incomplete knowledge, daily struggles, keeping pace, personal issues",2,1,2,2,1,2,3
"ON319ul",4,"job opportunities, rising costs, inflation, tariffs",6,3,5,2,1,1,3
"CT052io",3,"housing costs, home ownership, market changes",6,2,5,3,1,1,3
"FQ902pf",3,"economic disparity, income limitations, financial stress",5,1,5,2,1,1,2
"AB026gq",3,"technology advancement, age barriers, career transition, educational gap",5,1,2,2,1,1,5
"JA876vv",3,"career stagnation, remote work challenges, limited visibility, promotion barriers",6,1,4,2,1,1,2
"KO949du",4,"financial insecurity, career stagnation, environmental factors, lack of confidence, mental health issues, delayed progress",5,1,4,2,1,1,5
"XU758kn",1,"self-reliance, fortunate life",1,1,1,1,1,1,1
"NE988pv",4,"housing costs, stifled wages, student loans, retirement savings, economic climate",6,2,5,3,1,2,3
"KV537yv",4,"economic success, career development, financial disparity, life quality",5,1,5,2,1,1,2
"VX734cs",4,"healthcare access",7,4,3,4,1,1,2
"LM278pg",4,"low income, rising costs, food insecurity, age limitations, social media pressure",6,2,5,3,1,2,5
"JB547xo",3,"selfishness, lack of empathy, individualism",6,1,2,3,1,1,1
"SR369fj",4,"financial insecurity, low income, limited travel, fewer experiences, peer success",5,2,5,2,1,1,4
"FU744fv",4,"ageism, generational gap, stereotypes, disregarded experience, social isolation",5,1,2,3,1,2,5
"DM073vh",3,"pop culture, motivation, new media, older preferences, social conversations",4,1,1,3,1,1,3
"ZK247bs",4,"age discrimination, job difficulty, social isolation, assumed incompetence",6,1,4,4,1,2,5
"CQ614mh",4,"health care, child care, government assistance",6,4,4,3,1,3,4
"CY180xv",2,"family dynamics, empty nest, role transition",5,1,1,2,1,2,3
"UD204hs",2,"ai advances, obsolete skills, career uncertainty, education needs",5,1,3,2,1,1,2
"DP337od",3,"caregiving duties, family isolation, lack of contact, few friends, independence, limited support, stress, burnout",2,1,2,2,1,2,3
"PJ337yg",4,"unequal opportunities, systemic barriers, unmet expectations",6,2,4,4,3,2,2
"RP416xo",1,"division, entitled attitudes, leftist ideology",6,3,2,3,1,1,1
"ZT458jl",4,"financial instability, lack of savings, retirement concerns, overworking, income insecurity",5,1,5,2,1,2,3
"SJ388oj",3,"physical challenges, psychological challenges, peer comparison",2,1,3,2,1,2,3
"HH268tt",3,"relationship status, age expectations, social comparison, life milestones",4,1,2,2,1,2,4
"BD199hz",4,"student debt, lack of support, expensive therapy, feeling insignificant",5,2,4,3,1,1,3
"QM743dh",3,"taxpayer neglect, immigration policy, foreign aid, crime rates, unemployment, cultural shifts",7,4,3,3,1,1,1
"RD683gv",3,"financial struggles, health issues",5,1,3,3,1,1,3
"DX427vl",4,"empty nest, loneliness, isolation, family distance",3,1,1,2,1,2,4
"VM643oe",3,"job dissatisfaction, financial worry, lack of passion",5,1,4,2,1,1,2
"DL992xa",4,"social security, changing policies, low benefits, inequality, citizen neglect",7,5,5,3,2,2,5
"GD783vk",3,"family obligations, personal path, future approach",5,1,2,3,1,2,2
"LJ614tv",4,"financial struggles, cultural disconnect, social isolation",6,2,4,3,2,2,3
"GW793po",4,"inflation, stagnant salary, rising costs, reduced savings, limited travel",6,2,5,2,1,1,2
"RV675bt",4,"internet access, health care access",6,3,3,3,1,1,2
"IP332ko",4,"gender bias, career stagnation, corporate politics, parenting responsibilities, skills gap",6,1,4,4,1,4,4
"ZT250ph",1,"none",1,1,1,1,1,1,1
"MR145rr",4,"financial strain, rising costs, economic downturn, insufficient income, increased expenses",6,3,5,2,1,1,2
"KU796fq",4,"age discrimination, lack of representation, youth focus, ignored opinions",6,2,2,3,1,2,4
"OD569hz",1,"personal control",2,1,1,1,1,1,1
"DD306ls",1,"financial strain, single income, large family, self-sufficiency",6,1,4,2,1,1,2
"PV159ku",3,"financial constraints, technology gap, health issues",6,1,4,3,1,1,3
"FV686ds",2,"political instability",6,4,1,4,1,1,2
"LM203lv",3,"income inequality, wealth concentration, power imbalance, financial barriers",6,3,5,3,1,1,2
"QX488wl",4,"economic inequality, political neglect, rising costs, stagnant wages, financial insecurity",6,4,5,3,1,1,2
"HN052gu",2,"financial instability, career uncertainty, personal development, peer comparison",5,1,3,2,1,1,2
"GY421wr",3,"social programs, racial focus, gender identity, feeling excluded",6,4,2,4,3,3,1
"JA319td",3,"age-related challenges, delayed progress, distance from family, distance from friends, starting over",4,1,3,2,1,1,4
"PX493wi",4,"family estrangement, aging, loneliness, limited support",2,1,1,2,1,2,4
"RN934cw",3,"career stagnation, personal goals, financial stability, education level, peer comparison",2,1,3,2,1,1,2
"IO162aa",3,"limited opportunities, accessibility issues, social isolation, employment barriers, discrimination",6,2,3,4,1,1,1
"SG995fs",3,"social interaction, friendship, home maintenance, skill gaps",4,1,2,2,1,2,2
"YW978at",1,"not applicable",1,1,1,1,1,1,1
"CM540ie",2,"homeownership pressure",4,1,3,2,1,1,3
"NL597jj",3,"single parent, limited resources, financial strain, educational gaps, social support, career opportunities",6,2,4,3,1,2,2
"BG089bn",4,"discrimination, identity concerns, social exclusion, power dynamics",6,4,2,5,4,1,1
"HB462ib",4,"rural isolation, government neglect, power outages, poor infrastructure, limited internet",7,4,4,3,1,1,2
"UK596qd",4,"financial struggles, income disparity, career stagnation, debt burden",5,1,5,2,1,1,2
"ZF945ec",4,"lack of support, broken promises, unmet expectations, self-neglect",5,1,2,2,1,2,3
"FU961uc",3,"lack of opportunities",5,1,3,3,1,1,2
"YT739dx",5,"job scarcity, ai competition, financial debt, training costs, unpaid bills",6,3,5,2,1,1,3
"NA350sm",5,"social regression, legal threats, unwelcoming environment, marriage equality, cultural backlash",6,4,1,5,3,2,1
"OM093qe",4,"career stagnation, unemployment, education delay, peer comparison, relationship status",4,1,4,3,1,2,5
"QP536zd",3,"social skills, knowledge gaps, self-esteem, peer pressure",4,1,1,3,1,2,3
"WE275cu",5,"economic disparity, corporate dominance, barriers to entry, capital access, market competition",7,2,5,3,1,1,1
"WW079kh",4,"minority status, overlooked, lack of progress, not taken seriously, knowledge undervalued",6,2,2,4,4,3,2
"KS340ni",4,"financial success, affording vacations, life progression",5,1,5,2,1,1,3
"FE177fg",2,"career stagnation, lack of promotion, job monotony",5,1,3,2,1,2,2
"XL018zt",3,"chronic illnesses, disabilities, social exclusion, activity limitations",5,1,2,2,1,2,3
"TA347kr",4,"housing costs, education access, economic disparity, job market, wage stagnation",6,3,5,3,1,1,4
"QY421me",4,"student loan debt, housing costs, family affordability, american dream, income limitations",6,3,5,4,1,2,4
"FF589yh",2,"age factors, income limitations",5,1,3,2,1,2,4
"MU734ln",3,"life struggles, social isolation, unmet goals, emotional burden",5,1,2,3,1,1,2
"ZR277ob",3,"financial constraints, lack of ambition, economic disparity, work-life balance, limited opportunities",5,1,4,3,1,2,2
"IX507uz",3,"social isolation, cultural differences, societal values, lack of connection",2,1,1,3,1,2,2
"VD530os",3,"technology advancement, age differences, civil rights changes",6,2,2,4,2,2,4
"TG870ml",2,"social isolation, parenting demands",4,1,1,2,1,4,2
"UZ613ob",4,"career stagnation, low income, lifestyle disparity",6,1,5,3,1,1,2
"AM527mm",4,"tech adaptation, social media, internet, cell phones",6,1,2,3,1,1,5
"QL607bz",4,"physical injury, limited mobility, social isolation, missed experiences, emotional distress",4,1,1,2,1,1,3
"BE829ny",2,"empathy development, relationship skills, personal growth",2,1,1,3,1,2,2
"BS168eh",4,"financial struggle, lack of advancement, age pressure, uncertainty, inability to save",6,1,5,2,1,2,3
"VO939ds",4,"education gap, financial struggles, age disparity, missed opportunities",2,1,5,2,1,1,4
"DQ857wg",3,"economic downturn, rising crime, personal effort insufficient",6,3,4,2,1,1,2
"YR500fx",1,"age differences",1,1,1,1,1,1,4
"AU013gb",2,"temporary setbacks",3,1,2,2,1,1,1
"ZO984zx",1,"quality education, youth programs, community support",6,3,2,2,1,1,1
"UX056mt",5,"income inequality, wealth gap, limited opportunities, economic system, financial barriers",7,3,5,3,1,1,2
"YP957ma",4,"high living costs, income inequality, healthcare access, education barriers, housing affordability, job opportunities",6,3,5,4,2,2,3
"PB498bk",4,"technology gap, financial literacy, job opportunities, digital skills, entrepreneurship",5,1,4,3,1,1,4
"LY560up",4,"relationship status, peer pressure, social expectations",4,1,2,3,1,3,4
"AF854xi",3,"fewer opportunities, life choices, social judgment",5,1,3,3,2,2,2
"CO512sf",3,"financial success, career stagnation, peer comparison",2,1,4,2,1,1,2
"QC257uo",4,"education expectations, job market, underemployment, financial stress",6,2,5,3,1,1,3
"WK973xh",4,"meager income, limited opportunities, age, missed chances, financial constraints",6,1,5,2,1,1,4
"CN509wz",3,"career stagnation, lack of recognition, financial dependency",5,1,4,2,1,3,2
"ZM868ah",3,"financial struggles, personal stagnation, lack of growth",5,1,4,2,1,1,2
"WA812je",4,"automation threat, job security, financial stability, savings insufficiency",6,1,5,1,1,1,2
"BU119qe",4,"wealth disparity, inheritance, housing inequality, luxury lifestyle, travel opportunities",6,1,5,3,1,1,2
"DW511sa",4,"ignored generation, job opportunities, credit score impact, financial inequality, generational focus, economic shifts",6,1,4,3,1,2,4
"NL870fm",1,"contentment, clear goals, self-awareness",1,1,1,1,1,1,1
"OH140ou",4,"mental health, financial constraints, lack of support",4,2,4,2,1,1,2
"LY875eo",3,"wasteful spending, high taxes, financial strain, food insecurity",7,4,5,2,1,1,2
"DF982hh",3,"financial stability, career opportunities, rising costs, wage stagnation, housing affordability",6,2,5,3,1,1,3
"XW245ap",3,"generational gap, technology changes, cultural shifts, social media trends",5,1,1,3,1,1,4
"LX127xm",2,"federal benefits, not targeted",7,4,2,1,1,1,2
"XC436vk",3,"financial disparity, peer comparison, limited resources",5,1,5,2,1,1,2
"OJ506dd",2,"corporate america",5,1,4,2,1,1,1
"PB670mm",3,"excessive taxes, work penalties, property taxes",6,5,5,2,1,1,1
"WR803tj",4,"medical condition, lack of income, family strain, limited work ability",5,2,4,1,1,1,2
"ZG979wg",3,"political climate, extreme views, lack of voice",6,4,1,3,1,1,2
"GS216kw",4,"economic inequality, wealth disparity, government focus, social injustice",7,5,5,3,1,1,1
"BW867og",1,"self reliant, independent, forged ahead, accomplishments",1,1,1,1,1,1,1
"IU546pq",4,"financial goals, comparison with others",5,1,5,2,1,1,2
"CD476fe",4,"lack of family, financial struggles, career stagnation, high bills, daily stress",6,2,5,2,1,1,2
"WX586rx",4,"loss of spouse, loneliness, retirement plans, emotional support, social isolation",4,1,2,3,1,4,4
"UN752pl",4,"lack of experience, job market, employment barriers",6,1,3,2,1,1,2
"ZT204ll",2,"optimism, self-motivation, positive mindset",4,1,2,2,1,1,2
"BR286du",1,"faith in god, spiritual fulfillment, eternal perspective",7,1,1,2,1,1,1
"ME491pe",3,"social isolation, lack of mobility, financial constraints",5,1,3,2,1,1,2
"DI577ok",4,"low wages, job insecurity, inflation, lack of support, unfair treatment",6,3,5,3,1,1,2
"SR676nz",5,"discrimination, lack of support, social isolation, safety concerns, economic barriers",6,4,4,5,1,5,2
"XV518hn",2,"political exclusion, taxation decisions",6,4,4,3,1,1,1
"NV960uk",4,"limited income, financial constraints, family support",6,2,4,2,1,1,2
"EX108ab",4,"inflation, wage stagnation, economic uncertainty, fewer opportunities, government policies",6,4,5,3,1,1,2
"MG377ya",1,"not applicable",7,1,3,3,1,1,1
"OM569oh",5,"overseas outsourcing, ai advancements, changing expectations, job security, salary disparities",6,2,5,3,1,1,2
"FM885yu",4,"location stagnation, financial stagnation, family relocation",6,2,5,3,1,1,3
"XP416tm",3,"education access, economic pressure, multiple jobs, time constraints, knowledge gap",6,2,5,2,1,1,2
"AM344df",4,"inflation, stagnant wages, rising costs, financial stress",6,3,5,1,1,1,2
"UE525nt",2,"technology changes, social media, communication style, nostalgia, cultural shifts",3,1,1,3,1,1,3
"RQ419ly",3,"political division, social values, empathy gap, cultural shifts",6,3,1,5,1,1,1
"UU746rq",5,"housing costs, rising rent, college expenses, student debt, political corruption, environmental decline, authoritarianism, free speech limits, retirement insecurity, economic inequality",7,5,5,4,2,1,2
"IF261zg",4,"housing costs, financial stability, peer comparison",5,2,5,3,1,2,4
"ZG218to",2,"lack of guidance, motivation issues, educational support",5,1,2,2,1,1,2
"DH779aw",4,"government neglect, lack of support, policy issues",7,5,4,3,1,1,2
"ET422pq",5,"policies, inflation, program cuts, political violence, rigged system",7,5,5,4,1,1,2
"LW015de",5,"aging, financial struggles, social isolation, lack of achievements, regret",4,1,4,2,1,2,5
"XF517kf",4,"career stagnation, financial insecurity, relationship status, life milestones",4,1,4,3,1,2,4
"LY160xl",1,"miscommunication, transportation issues",2,1,1,2,1,1,2
"EV738rh",4,"mental health, lack of progress, missed milestones, feeling stuck",2,1,1,2,1,1,2
"PK259vo",4,"age limitations, missed opportunities, social isolation, self-doubt, comparison to others",5,1,2,3,1,1,5
"XE150kp",3,"career stagnation, salary expectations",5,1,4,2,1,2,3
"UW359jm",4,"economic recession, stagnant salary, housing costs, career advice, job market",6,2,5,3,1,1,3
"OH365tg",5,"loss of spouse, financial insecurity, healthcare loss, job market challenges, age discrimination",6,5,5,3,1,4,4
"FW949al",3,"career progress, personal achievements, financial stability, social status, life goals",2,1,3,2,1,2,3
"QP727xq",4,"bad luck, poor choices, financial struggles",2,1,5,2,1,1,2
"HV038lh",4,"automation impact, job insecurity, government support, economic pressures",6,4,5,3,1,1,4
"AR326bo",2,"social media exposure, privacy concerns",6,1,2,3,1,2,2
"QV633kv",3,"housing costs, market timing, financial pressure",6,2,5,3,1,1,3
"BX704ao",3,"work life balance, work stress, overthinking, home responsibilities",5,1,2,2,1,1,2
"KR402op",3,"religious disconnection, cultural shift, personal change",5,1,1,3,1,1,3
"FC020tt",4,"recently widowed, retirement activities, missing companionship, social isolation, age-related changes",5,1,2,3,1,2,4
"YJ809lu",2,"social interaction, materialism, lack of connection, chasing success",5,1,2,3,1,1,2
"GQ533ee",5,"social safety nets, disability support, government policies, public empathy, economic inequality",7,5,5,4,1,1,2
"ZS961az",2,"social connections",2,1,1,2,1,2,2
"CE208al",4,"career choice, financial disparity, peer pressure, material success",5,1,4,2,1,1,2
"AT042br",3,"financial insecurity, comparison to others, savings pressure, financial expectations",5,1,5,2,1,1,2
"TA432bv",3,"technology gap",6,1,2,2,1,1,3
"XZ552yv",4,"career opportunities, dead-end jobs, low pay, job competition, toxic work culture, lack of reward",6,1,5,2,1,1,2
"RI066bw",2,"gender inequality",5,1,2,3,1,3,2
"UR141cp",5,"no friends, social isolation, domestic duties, lack of support, no job",5,1,2,4,1,4,2
"WD342rz",3,"disability, limited advancement, stagnation, career barriers",6,2,3,2,1,1,2
"RK254zq",4,"career stagnation, lack of passion, income limitations",5,1,4,2,1,2,3
"WE662zz",4,"social isolation, caregiving duties, limited mobility, lack of support, mental fatigue",5,1,2,3,1,2,3
"JS242ky",4,"age discrimination, job market, salary expectations, career stagnation",6,1,4,3,1,2,4
"UH011qe",3,"troubled background, mental health, career focus",5,1,3,3,1,2,3
"QJ270pz",4,"financial instability, insufficient raises, elderly struggles, disability income",6,5,5,3,1,1,5
"OU744wl",3,"education opportunities, career advancement, family dynamics",4,1,3,2,1,1,2
"PF318zn",4,"health issues, insurance neglect, feeling insignificant, medical system",6,2,2,2,1,2,2
"FO413bz",3,"technology advancement",5,1,2,2,1,1,3
"BR855np",4,"technological change, artificial intelligence, learning pressure, adaptation needs",6,1,3,2,1,1,2
"FM053lx",4,"financial struggles, racial background, lack of education, self-taught skills",6,2,5,4,3,1,2
"DQ595ey",3,"social change, political shifts, technology pace, social media, conservative values",6,3,2,4,1,2,4
"MX598qz",3,"age disparity, targeted ads, music preferences",4,1,1,3,1,1,4
"ZS469bs",4,"age, job loss, economic changes, political shifts, technological advances, health issues, social isolation, career stagnation, financial instability, cultural changes",6,4,4,4,1,1,5
"NN792ji",3,"social exclusion, fear of rejection, self-doubt, peer pressure, lack of confidence",2,1,1,3,1,4,2
"PO156kt",3,"financial constraints",5,1,5,2,1,1,2
"QG923jm",1,"home ownership, travel experience, new car",5,1,4,4,1,2,2
"ZN533mp",4,"career stagnation, low income, no degree, limited opportunities",5,1,4,2,1,2,2
"HT225gb",3,"retirement goals, job search, time management, household duties, volunteer commitments, personal development",4,1,3,2,1,3,3
"YB034wi",3,"education level, career advancement",2,1,3,2,1,1,2
"HT432pd",5,"chronic illness, health issues, medical complications",6,1,2,2,1,1,2
"AE792gv",1,"no feelings of being left out",1,1,1,1,1,1,1
"NO352cj",4,"mental health, trauma, emotional distress, lack of support, coping difficulties",5,1,1,2,1,2,2
"ZO116lj",2,"pop culture, celebrity news, athlete updates",5,1,1,3,1,1,2
"CT955tc",4,"student loan debt, job market, financial struggle",6,2,5,2,1,1,2
"FU549as",4,"lack of sponsorship, caregiving duties, limited extra hours, missed promotions, anxiety in meetings, confidence issues, need for feedback",5,1,3,2,1,2,2
"GA352bk",3,"technology gap, ai knowledge, trend awareness, financial opportunities",5,1,3,2,1,2,3
"IO357xm",4,"career development, economic well-being, wage increases, technological advancement, labor market shifts, social comparisons, social media, professional aspects, financial aspects, personal achievements",5,1,4,2,1,1,3
"YA352wc",4,"education costs, healthcare costs, living expenses, government inaction, economic uncertainty",6,4,5,3,1,1,3
"ZH665cn",4,"stagnation, comparison, goal setbacks, lack of drive",2,1,2,2,1,1,3
"RW698yj",3,"career stagnation",4,1,4,2,1,2,3
"FL235br",3,"career stagnation, unfulfilling job, financial struggles, health neglect, mental fatigue",5,1,4,2,1,1,3
"BW018aw",4,"political polarization, cultural alienation, identity conflict",6,3,2,4,3,1,2
"VF433um",3,"health issues, career choice",2,1,2,1,1,1,2
"YK208mf",4,"disability, fixed income, financial strain",6,4,5,2,1,1,2
"VP811cy",1,"political division, social separation",7,3,2,4,2,1,1
"KR400wk",3,"beauty standards, social connections, makeup skills, group activities",2,1,2,3,2,3,3
"EW125yf",1,"contentment, faith, trust in god",1,1,1,2,1,1,1
"XR550uh",5,"financial dependency, lack of income, family reliance, limited resources",4,1,5,2,1,2,3
"XR812ue",3,"racial bias, gender bias, job discrimination",7,2,3,4,4,4,2
"RM036rc",5,"financial barriers, lack of education, mental health access, late diagnosis, career limitations, infertility, adoption costs, economic inequality",6,4,5,4,1,2,3
"GK929vy",4,"early marriage, young parenthood, no higher education, family responsibilities, career stagnation",6,1,4,3,1,3,4
"PK435ka",3,"gender bias, lack of support, career choice, family pressure, discouragement",6,1,2,4,1,5,2
"FA115xh",4,"financial stress, family obligations, career stagnation, emotional burden, lack of fulfillment",5,1,4,3,1,1,3
"KE207bj",4,"wealth inequality, lack of support, economic barriers, social class, financial insecurity",7,4,5,4,1,1,4
"MQ318vw",3,"technology advances, cost of living, ai, smart devices",6,2,4,2,1,1,3
"QD543aa",3,"healthcare costs, income limits",6,3,4,2,1,2,2
